AUN,School District,County,2014-15 Average Daily Membership,2014-15 Weighted Average Daily Membership,"Instruction
per ADM","Support Services
per ADM","Non-Instructional
per ADM","Current Exp
per ADM","Facilites, Acquistion & Construction
per ADM","Other Financing Uses
per ADM","Total Exp
per ADM",AIE per WADM
102027451,Pittsburgh SD,Allegheny,26399.34,30661.95,13342.56,6972.54,207.81,20522.90,118.49,2424.09,23065.49,12079.27
103027503,Plum Borough SD,Allegheny,4012.13,4718.35,8564.18,3931.36,291.74,12787.27,36.04,1785.32,14608.63,8107.00
103027753,Quaker Valley SD,Allegheny,1935.36,2234.36,10909.49,6710.71,762.29,18382.50,0.00,3863.90,22246.40,12784.85
103028203,Riverview SD,Allegheny,1021.62,1202.71,10243.27,6519.01,660.62,17422.90,6.70,1370.90,18800.50,11753.20
103028302,Shaler Area SD,Allegheny,4686.74,5519.18,9649.10,5152.74,370.48,15172.31,0.00,1400.80,16573.11,9607.10
103028653,South Allegheny SD,Allegheny,1611.16,1890.91,8367.80,4210.45,360.88,12939.13,44.04,776.48,13759.65,7990.74
103028703,South Fayette Township SD,Allegheny,2925.29,3270.17,7212.43,4883.90,493.61,12589.95,0.00,2132.43,14722.38,8104.80
103028753,South Park SD,Allegheny,1938.82,2237.69,8142.07,4636.76,454.48,13233.30,0.00,2019.57,15252.86,8427.55
103028833,Steel Valley SD,Allegheny,1797.27,2115.01,10565.60,5113.96,352.32,16031.88,0.00,1832.40,17864.29,10055.16
103028853,Sto-Rox SD,Allegheny,1732.62,1989.30,8936.45,4012.45,82.35,13031.25,0.00,920.69,13951.94,7815.56
103029203,Upper Saint Clair SD,Allegheny,4141.78,4751.14,9065.49,5555.07,346.24,14966.80,0.00,3321.16,18287.96,9994.50
103029403,West Allegheny SD,Allegheny,3290.80,3748.54,8608.78,5509.20,505.39,14623.37,71.89,2367.36,17062.63,9889.26
103029553,West Jefferson Hills SD,Allegheny,2868.44,3283.89,7879.17,4549.66,396.64,12825.47,0.00,1319.74,14145.21,8502.21
103029603,West Mifflin Area SD,Allegheny,2720.17,3193.41,10309.95,4892.75,415.81,15618.51,17.50,3042.96,18678.97,9065.18
103029803,Wilkinsburg Borough SD,Allegheny,1185.27,1356.94,17045.16,5610.18,248.45,22903.79,0.00,1340.67,24244.46,14931.45
103029902,Woodland Hills SD,Allegheny,5021.71,5837.17,10906.36,4491.65,322.85,15720.86,0.00,1212.91,16933.76,10117.58
128030603,Apollo-Ridge SD,Armstrong,1353.79,1599.95,8948.32,4471.47,320.27,13740.05,62.88,1270.18,15073.11,8061.42
128030852,Armstrong SD,Armstrong,5594.02,6428.68,10131.53,4502.47,322.28,14956.28,51.30,1679.54,16687.11,8766.03
128033053,Freeport Area SD,Armstrong,1891.68,2224.87,7933.42,4340.16,317.57,12591.15,5.04,1201.05,13797.24,8120.22
128034503,Leechburg Area SD,Armstrong,841.47,975.29,9609.93,4278.48,439.57,14327.98,0.00,801.86,15129.84,9303.91
127040503,Aliquippa SD,Beaver,1298.94,1490.31,9038.22,4734.34,351.41,14123.96,0.00,2405.46,16529.42,8160.76
127040703,Ambridge Area SD,Beaver,2944.13,3426.70,8433.18,3632.87,220.13,12286.17,0.00,2850.27,15136.44,7723.62
127041203,Beaver Area SD,Beaver,2071.80,2376.16,7148.27,4720.04,378.67,12246.98,51.14,1253.88,13552.00,8080.32
127041503,Big Beaver Falls Area SD,Beaver,1755.35,2027.26,8285.03,4711.98,379.30,13376.31,65.63,1030.58,14472.52,8429.77
127041603,Blackhawk SD,Beaver,2517.50,2945.05,7942.49,4220.07,456.71,12619.27,20.79,1276.91,13916.97,8201.87
127042003,Central Valley SD,Beaver,2452.18,2783.48,7755.31,4495.84,379.58,12630.73,0.00,937.89,13568.62,8394.53
127042853,Freedom Area SD,Beaver,1535.96,1794.60,8222.67,4373.22,347.59,12943.47,0.00,981.85,13925.32,8261.78
127044103,Hopewell Area SD,Beaver,2294.81,2702.38,8836.56,4642.69,388.55,13867.80,0.00,1707.32,15575.12,8829.14
127045303,Midland Borough SD,Beaver,417.00,478.25,8842.62,3752.90,20.20,12615.72,0.00,512.77,13128.49,8298.79
127045653,New Brighton Area SD,Beaver,1498.53,1757.73,8475.50,4201.53,440.41,13117.44,115.24,1134.16,14366.85,7905.41
127045853,Riverside Beaver County SD,Beaver,1547.11,1824.88,8209.67,4513.66,319.99,13043.32,0.00,1194.78,14238.09,8295.47
127046903,Rochester Area SD,Beaver,815.55,942.80,11473.89,4807.92,349.73,16631.54,34.19,2196.04,18861.77,10461.75
127047404,South Side Area SD,Beaver,1168.18,1373.71,10536.65,6553.18,536.82,17626.65,0.00,1095.54,18722.19,11411.85
127049303,Western Beaver County SD,Beaver,761.23,893.03,9758.02,5102.05,341.79,15201.87,48.71,11738.62,26989.20,9233.14
108051003,Bedford Area SD,Bedford,2139.73,2545.71,7634.70,4166.72,237.49,12038.90,0.00,2571.46,14610.37,7021.76
108051503,Chestnut Ridge SD,Bedford,1574.13,1859.61,6950.75,4332.83,274.05,11557.63,0.00,771.86,12329.49,6497.35
108053003,Everett Area SD,Bedford,1350.92,1588.70,7831.27,4136.79,310.85,12278.91,0.00,976.98,13255.90,7091.31
108056004,Northern Bedford County SD,Bedford,989.81,1146.12,7478.17,4058.31,344.17,11880.65,3.03,567.03,12450.71,7085.66
108058003,Tussey Mountain SD,Bedford,1085.92,1232.38,8559.71,4823.14,337.15,13720.01,81.15,1988.38,15789.54,8594.40
114060503,Antietam SD,Berks,1077.14,1252.82,8566.73,4770.75,335.09,13672.57,0.00,7974.85,21647.43,9116.73
114060753,Boyertown Area SD,Berks,7213.74,8185.18,8443.44,4074.10,193.52,12711.05,0.00,1555.09,14266.15,8575.42
114060853,Brandywine Heights Area SD,Berks,1540.51,1826.19,10438.62,5199.83,372.66,16011.10,73.52,2208.08,18292.70,10462.50
114061103,Conrad Weiser Area SD,Berks,2700.26,3183.89,9718.44,4248.10,312.03,14278.57,0.00,1972.81,16251.39,8801.35
114061503,Daniel Boone Area SD,Berks,3641.76,4196.26,8574.11,3977.24,207.12,12758.47,0.00,7277.22,20035.70,8371.66
114062003,Exeter Township SD,Berks,4172.35,4940.25,9164.98,4187.05,331.17,13683.20,159.76,6741.10,20584.06,9143.77
114062503,Fleetwood Area SD,Berks,2648.97,3126.70,8941.27,4155.47,253.65,13350.40,0.00,2311.24,15661.64,8644.68
114063003,Governor Mifflin SD,Berks,4097.08,4796.72,8782.83,4121.41,365.81,13270.05,0.00,1711.84,14981.89,8955.54
114063503,Hamburg Area SD,Berks,2268.86,2676.80,8916.19,4925.54,315.17,14156.91,0.00,1893.42,16050.32,9204.21
114064003,Kutztown Area SD,Berks,1402.77,1655.86,12063.24,6541.99,469.13,19074.36,0.00,9181.36,28255.72,12740.98
114065503,Muhlenberg SD,Berks,3635.93,4298.83,7917.17,3896.09,351.42,12164.68,0.00,1719.14,13883.81,8001.69
114066503,Oley Valley SD,Berks,1729.82,2047.82,9340.74,5040.94,404.67,14786.35,0.00,2111.28,16897.63,9609.74
114067002,Reading SD,Berks,18147.95,20765.71,7267.05,3281.24,158.75,10707.04,0.00,1082.15,11789.18,6048.37
114067503,Schuylkill Valley SD,Berks,2040.66,2388.89,10347.01,4242.96,516.29,15106.27,0.00,13612.20,28718.47,9898.68
114068003,Tulpehocken Area SD,Berks,1418.96,1665.15,11385.64,6142.53,315.02,17843.19,0.00,2196.55,20039.74,11480.75
114068103,Twin Valley SD,Berks,3473.50,4056.51,9309.64,4130.67,221.70,13662.01,9.11,2030.70,15701.81,8676.60
114069103,Wilson  SD,Berks,6056.32,7104.19,8402.72,4159.00,362.90,12924.61,0.00,2408.17,15332.78,8674.34
114069353,Wyomissing Area SD,Berks,1946.61,2298.95,8521.08,5401.21,462.82,14385.10,0.00,2241.55,16626.66,9500.58
108070502,Altoona Area SD,Blair,7965.05,9286.33,6820.59,3641.24,251.84,10713.67,97.86,502.49,11314.02,6201.75
108071003,Bellwood-Antis SD,Blair,1271.13,1483.38,6837.58,3673.24,424.96,10935.79,0.00,7548.50,18484.29,6870.44
108071504,Claysburg-Kimmel SD,Blair,855.32,999.29,6606.67,4070.87,268.79,10946.33,0.00,1229.98,12176.31,6559.50
108073503,Hollidaysburg Area SD,Blair,3439.19,4032.70,7131.94,4029.50,265.78,11427.21,0.00,1330.77,12757.98,7357.79
108077503,Spring Cove SD,Blair,1852.48,2150.66,7234.93,3592.21,210.18,11037.32,4.58,2747.16,13789.05,6931.85
108078003,Tyrone Area SD,Blair,1872.32,2136.06,6659.89,4241.87,249.97,11151.73,4.33,588.41,11744.46,6441.96
108079004,Williamsburg Community SD,Blair,502.51,584.12,7246.79,4960.66,439.87,12647.33,0.00,1309.41,13956.74,7943.21
117080503,Athens Area SD,Bradford,2157.14,2525.34,9171.60,4621.78,227.35,14020.73,38.29,1605.29,15664.30,8750.23
117081003,Canton Area SD,Bradford,955.96,1109.64,9211.95,4173.86,345.89,13731.71,0.00,624.29,14355.99,8212.87
117083004,Northeast Bradford SD,Bradford,864.07,1018.77,8370.12,4995.50,287.98,13653.60,0.00,841.69,14495.29,8307.52
117086003,Sayre Area SD,Bradford,1137.67,1299.26,9689.19,5079.97,477.65,15246.81,5.25,683.68,15935.75,10486.38
117086503,Towanda Area SD,Bradford,1574.56,1797.75,8220.83,4183.45,358.42,12762.69,9.15,1814.01,14585.85,7370.14
117086653,Troy Area SD,Bradford,1517.81,1771.93,8397.69,4410.89,315.02,13123.60,14.26,1680.92,14818.78,7920.11
117089003,Wyalusing Area SD,Bradford,1356.92,1582.23,8359.15,4694.36,277.15,13330.66,0.00,2000.16,15330.81,8187.92
122091002,Bensalem Township SD,Bucks,7564.26,8803.09,10943.47,5184.10,180.64,16308.21,0.00,1361.18,17669.39,11076.75
122091303,Bristol Borough SD,Bucks,1341.97,1557.71,10770.61,3628.35,242.33,14641.28,206.39,1818.70,16666.37,10149.85
122091352,Bristol Township SD,Bucks,7251.75,8451.25,11438.84,4986.19,144.23,16569.27,0.00,475.61,17044.88,11023.69
122092002,Centennial SD,Bucks,5644.00,6497.67,11166.06,5359.43,224.62,16750.11,288.39,1947.71,18986.21,11589.42
122092102,Central Bucks SD,Bucks,19208.09,22311.36,8372.91,4281.77,318.07,12972.75,0.00,3179.76,16152.50,8516.22
122092353,Council Rock SD,Bucks,11158.74,12946.23,11972.88,4997.93,299.20,17270.02,0.00,2020.82,19290.84,11738.24
122097203,Morrisville Borough SD,Bucks,995.27,1133.78,11265.06,4088.12,422.53,15775.71,0.00,845.04,16620.76,10950.34
122097502,Neshaminy SD,Bucks,9110.15,10708.17,11477.40,4774.01,190.86,16442.27,94.82,4435.35,20972.44,11027.51
122097604,New Hope-Solebury SD,Bucks,1396.78,1655.14,14129.01,8652.67,609.52,23391.20,0.00,2884.13,26275.34,16449.42
122098003,Palisades SD,Bucks,1753.62,2053.95,12368.68,6827.69,598.08,19794.44,0.00,1886.08,21680.52,13243.23
122098103,Pennridge SD,Bucks,7601.69,8706.25,9459.73,4286.85,194.41,13941.00,0.00,2264.67,16205.67,9635.63
122098202,Pennsbury SD,Bucks,10819.40,12742.01,10804.77,4601.92,117.48,15524.16,0.00,1998.04,17522.20,10417.28
122098403,Quakertown Community SD,Bucks,5504.22,6311.60,10415.78,4658.47,175.37,15249.61,0.00,1535.88,16785.49,10683.41
104101252,Butler Area SD,Butler,7387.31,8440.34,7887.95,3846.07,202.15,11936.17,0.00,1198.88,13135.05,7437.71
104103603,Karns City Area SD,Butler,1578.88,1862.65,8272.01,4328.59,341.15,12941.74,55.44,674.16,13671.35,7746.16
104105003,Mars Area SD,Butler,3350.90,3830.96,6591.06,3999.92,354.04,10945.02,0.00,2533.16,13478.19,7519.01
104105353,Moniteau SD,Butler,1381.49,1572.33,7398.48,4511.97,859.20,12769.65,0.32,1000.42,13770.39,7795.77
104107903,Seneca Valley SD,Butler,7378.05,8459.78,8665.13,3899.18,229.05,12793.36,1.07,2219.40,15013.83,8464.37
104107503,Slippery Rock Area SD,Butler,2153.69,2538.25,8590.95,3709.34,374.02,12674.31,0.00,781.71,13456.02,8199.43
104107803,South Butler County SD,Butler,2581.40,3016.82,7068.32,4226.74,375.77,11670.83,0.00,1510.94,13181.77,7252.68
108110603,Blacklick Valley SD,Cambria,678.26,769.26,8386.81,4974.61,565.27,13926.69,0.00,870.69,14797.38,8915.33
108111203,Cambria Heights SD,Cambria,1446.48,1701.85,7963.98,4008.14,326.41,12298.53,59.31,575.36,12933.21,7607.86
108111303,Central Cambria SD,Cambria,1709.35,2013.48,7635.54,3908.38,265.29,11809.20,0.00,1165.82,12975.02,7193.07
108111403,Conemaugh Valley SD,Cambria,857.97,1012.80,7182.38,4560.51,424.49,12167.38,0.00,1093.54,13260.93,7465.43
108112003,Ferndale Area SD,Cambria,717.53,827.21,8756.77,5463.82,311.13,14531.72,0.00,1039.99,15571.72,9161.98
108112203,Forest Hills SD,Cambria,1931.98,2222.35,7485.97,3974.06,415.03,11875.05,0.00,1807.18,13682.24,7550.22
108112502,Greater Johnstown SD,Cambria,3193.11,3666.93,8899.89,3842.32,323.28,13065.49,85.47,2988.24,16139.21,7165.16
108114503,Northern Cambria SD,Cambria,1111.51,1304.48,8588.74,4520.48,350.19,13459.41,0.00,674.62,14134.04,8228.96
108116003,Penn Cambria SD,Cambria,1721.86,2013.30,7499.16,4319.64,302.18,12120.98,0.00,969.02,13090.00,7019.74
108116303,Portage Area SD,Cambria,942.23,1073.19,7316.82,4277.75,573.56,12168.14,407.29,702.17,13277.60,8175.45
108116503,Richland SD,Cambria,1650.33,1949.40,6810.26,3668.88,482.22,10961.35,0.00,26204.12,37165.47,7322.53
108118503,Westmont Hilltop SD,Cambria,1536.89,1804.78,7534.55,3939.03,321.91,11795.49,434.41,596.72,12826.63,7859.80
109122703,Cameron County SD,Cameron,627.76,740.75,11293.77,5221.63,518.62,17034.02,0.00,7171.60,24205.62,10648.62
121135003,Jim Thorpe Area SD,Carbon,2166.08,2543.88,10310.67,5171.40,377.23,15859.29,0.00,11743.12,27602.41,9995.59
121135503,Lehighton Area SD,Carbon,2453.39,2861.74,9399.04,4174.49,342.76,13916.29,158.36,1075.25,15149.90,8185.25
121136503,Palmerton Area SD,Carbon,2023.27,2316.38,8441.74,3430.86,385.26,12257.86,3.19,2279.72,14540.76,7829.92
121136603,Panther Valley SD,Carbon,1845.01,2064.83,8766.78,3081.93,266.67,12115.39,0.00,1416.47,13531.86,7758.58
121139004,Weatherly Area SD,Carbon,660.45,780.49,11325.91,6316.66,332.30,17974.86,8.22,710.19,18693.27,11890.31
110141003,Bald Eagle Area SD,Centre,1723.80,2026.90,9440.31,5211.56,403.28,15055.15,0.00,2088.58,17143.73,9554.09
110141103,Bellefonte Area SD,Centre,2795.89,3259.47,9086.97,5036.59,251.77,14375.33,0.00,1431.99,15807.32,9909.73
110147003,Penns Valley Area SD,Centre,1496.36,1742.99,8634.32,5308.94,368.22,14311.48,0.00,2292.33,16603.81,9180.54
110148002,State College Area SD,Centre,7092.24,8307.66,10146.57,5084.26,364.90,15595.73,0.11,2815.18,18411.02,10562.83
124150503,Avon Grove SD,Chester,5883.30,6801.76,8752.97,3507.81,179.61,12440.39,0.00,951.44,13391.82,8702.26
124151902,Coatesville Area SD,Chester,8932.79,10342.26,10465.28,4295.10,130.29,14890.67,0.00,1503.66,16394.33,10206.98
124152003,Downingtown Area SD,Chester,12888.46,14786.95,8871.27,4256.49,290.36,13418.12,14.56,2596.30,16028.97,9138.22
124153503,Great Valley SD,Chester,4073.98,4678.31,11979.50,5665.10,372.47,18017.07,0.00,2570.97,20588.04,12641.67
124154003,Kennett Consolidated SD,Chester,4467.36,5213.57,9769.85,4928.50,274.05,14972.40,13.09,2023.39,17008.87,10243.73
124156503,Octorara Area SD,Chester,2674.78,3150.97,10614.23,4720.74,214.76,15549.72,0.00,2167.14,17716.86,10042.49
124156603,Owen J Roberts SD,Chester,5400.96,6163.87,9111.19,5484.50,323.47,14919.16,0.00,1875.67,16794.83,10337.34
124156703,Oxford Area SD,Chester,4379.93,5150.23,8065.48,3443.48,215.54,11724.50,0.00,1318.52,13043.02,7864.82
124157203,Phoenixville Area SD,Chester,4193.15,4836.29,10852.48,5400.92,383.38,16636.78,0.00,2888.47,19525.25,11409.10
124157802,Tredyffrin-Easttown SD,Chester,6683.14,7633.21,10527.07,5859.32,296.84,16683.23,0.00,918.29,17601.52,11782.94
124158503,Unionville-Chadds Ford SD,Chester,4095.10,4712.48,10391.21,5676.62,324.27,16392.11,0.00,2347.48,18739.59,11299.35
124159002,West Chester Area SD,Chester,12401.55,14233.88,9849.34,4762.49,371.74,14983.57,0.00,2405.87,17389.44,10395.39
106160303,Allegheny-Clarion Valley SD,Clarion,710.10,837.52,12012.29,6290.29,439.92,18742.50,1294.20,1154.25,21190.95,9478.12
106161203,Clarion Area SD,Clarion,804.56,949.97,8758.58,4930.39,477.78,14166.76,0.00,1221.93,15388.69,9154.51
106161703,Clarion-Limestone Area SD,Clarion,902.37,1051.46,9130.76,4710.61,274.17,14115.54,0.00,522.77,14638.32,8649.76
106166503,Keystone  SD,Clarion,1089.65,1274.51,8510.66,4217.09,167.21,12894.96,0.00,434.25,13329.20,8075.30
106167504,North Clarion County SD,Clarion,580.93,688.34,8434.38,4322.71,152.36,12909.46,1.34,1005.16,13915.96,7840.65
106168003,Redbank Valley SD,Clarion,1158.67,1338.57,9002.30,4054.37,324.32,13381.00,0.00,864.05,14245.05,7985.68
106169003,Union SD,Clarion,616.59,712.99,9359.48,5509.75,420.84,15290.07,0.00,744.24,16034.31,9495.75
110171003,Clearfield Area SD,Clearfield,2337.63,2747.07,8071.20,4605.17,303.43,12979.80,0.00,1264.50,14244.30,7575.06
110171803,Curwensville Area SD,Clearfield,1089.10,1276.82,8161.40,4095.65,267.74,12524.79,162.23,1438.97,14125.98,7534.58
106172003,Dubois Area SD,Clearfield,3941.89,4621.85,7951.81,4264.96,181.93,12398.70,0.00,924.03,13322.73,7417.89
110173003,Glendale SD,Clearfield,834.19,978.70,8576.23,4780.18,419.40,13775.81,0.00,1129.77,14905.58,7865.01
110173504,Harmony Area SD,Clearfield,302.79,356.52,12019.54,6465.92,394.50,18879.96,0.00,1678.44,20558.40,9547.66
110175003,Moshannon Valley SD,Clearfield,925.13,1085.20,7952.16,4572.74,407.59,12932.49,10.88,1734.76,14678.13,7723.84
110177003,Philipsburg-Osceola Area SD,Clearfield,1808.22,2108.57,9315.27,5304.81,318.61,14938.70,0.00,8687.06,23625.76,8787.58
110179003,West Branch Area SD,Clearfield,1100.63,1294.63,8199.93,4086.93,382.73,12669.59,0.00,949.56,13619.15,7576.05
110183602,Keystone Central SD,Clinton,4457.65,5213.62,9523.41,4248.38,268.52,14040.31,0.00,1052.94,15093.26,8740.18
116191004,Benton Area SD,Columbia,724.48,851.47,8183.87,4849.86,330.12,13363.85,0.00,10819.06,24182.91,8729.45
116191103,Berwick Area SD,Columbia,3136.54,3664.17,8470.00,3725.30,251.33,12446.63,1658.72,3172.43,17277.77,8398.61
116191203,Bloomsburg Area SD,Columbia,1669.32,1942.52,7556.12,4222.02,347.15,12125.29,0.00,1265.25,13390.53,7815.26
116191503,Central Columbia SD,Columbia,1885.31,2206.73,8126.89,4068.86,315.54,12511.29,0.00,1716.21,14227.50,7834.91
116195004,Millville Area SD,Columbia,709.62,839.96,8268.45,5524.33,312.91,14105.69,0.00,1811.21,15916.90,8845.08
116197503,Southern Columbia Area SD,Columbia,1500.44,1758.00,7245.08,3554.41,297.59,11097.08,0.00,1112.39,12209.47,7011.30
105201033,Conneaut SD,Crawford,2226.17,2629.99,8155.10,5615.09,314.14,14084.33,655.33,1653.06,16392.72,8573.40
105201352,Crawford Central SD,Crawford,3923.38,4594.06,8028.75,4116.53,261.39,12406.66,0.00,1420.80,13827.46,7205.91
105204703,Penncrest SD,Crawford,3145.38,3741.16,10268.82,4734.99,308.98,15312.78,0.00,3237.72,18550.50,8314.26
115210503,Big Spring SD,Cumberland,2707.77,3189.74,9631.03,4525.08,325.97,14482.08,3.69,1518.04,16003.81,9139.46
115211003,Camp Hill SD,Cumberland,1286.55,1459.51,8428.66,4096.04,730.72,13255.42,0.00,9492.75,22748.17,9701.80
115211103,Carlisle Area SD,Cumberland,5150.25,5951.96,7808.29,4403.79,233.37,12445.45,60.37,1994.89,14500.70,8121.82
115211603,Cumberland Valley SD,Cumberland,8558.34,9719.10,6936.24,4046.59,264.24,11247.07,28.27,1405.57,12680.91,7729.40
115212503,East Pennsboro Area SD,Cumberland,2796.94,3268.03,7747.31,3414.32,252.81,11414.44,74.87,1413.54,12902.85,7624.38
115216503,Mechanicsburg Area SD,Cumberland,3921.81,4574.00,8543.55,3835.08,440.61,12819.24,3.14,3102.51,15924.89,8496.10
115218003,Shippensburg Area SD,Cumberland,3480.20,4076.15,7822.05,3413.59,219.97,11455.61,0.00,963.51,12419.12,7237.47
115218303,South Middleton SD,Cumberland,2194.50,2573.47,8464.99,4493.00,317.30,13275.29,0.00,1133.71,14409.00,9033.77
115221402,Central Dauphin SD,Dauphin,11934.20,13533.59,8799.28,3927.50,269.34,12996.12,0.00,1350.71,14346.83,8750.98
115221753,Derry Township SD,Dauphin,3501.83,4057.56,8538.13,4978.94,369.26,13886.34,0.00,2429.35,16315.69,9398.46
115222504,Halifax Area SD,Dauphin,1111.06,1302.09,10002.36,5518.41,354.96,15875.72,0.89,1851.51,17728.13,9903.94
115222752,Harrisburg City SD,Dauphin,7453.69,8581.77,9710.86,4366.76,127.71,14205.33,0.00,2787.31,16992.64,7961.65
115224003,Lower Dauphin SD,Dauphin,3870.65,4444.07,8809.14,5053.06,259.05,14121.24,0.00,991.57,15112.81,9231.01
115226003,Middletown Area SD,Dauphin,2443.50,2854.89,8557.91,4879.35,398.72,13835.98,1.15,2823.32,16660.46,8823.03
115226103,Millersburg Area SD,Dauphin,840.19,955.92,10337.70,5195.81,394.52,15928.03,23.47,25.15,15976.65,10132.78
115228003,Steelton-Highspire SD,Dauphin,1470.02,1645.34,7476.25,3342.39,183.24,11001.87,0.00,1863.20,12865.07,6564.04
115228303,Susquehanna Township SD,Dauphin,2871.30,3392.89,9867.17,4481.30,293.56,14642.03,0.00,1031.60,15673.63,9811.86
115229003,Upper Dauphin Area SD,Dauphin,1244.70,1464.43,9153.91,4059.69,266.83,13480.43,0.00,1622.36,15102.79,8001.24
125231232,Chester-Upland SD,Delaware,7172.59,8213.01,12954.01,3253.14,119.11,16326.26,0.00,1113.01,17439.27,9718.83
125231303,Chichester SD,Delaware,3519.56,4089.07,10846.25,6008.77,444.53,17299.55,0.00,1997.23,19296.79,11426.48
125234103,Garnet Valley SD,Delaware,4790.79,5536.82,11322.83,4758.16,435.80,16516.79,1.56,2422.18,18940.52,11750.67
125234502,Haverford Township SD,Delaware,5936.42,6678.50,10483.13,5024.95,231.72,15739.80,0.00,1634.62,17374.42,11077.01
125235103,Interboro SD,Delaware,3516.49,4133.18,10655.39,6032.04,268.35,16955.78,0.00,909.61,17865.39,10471.14
